seted_seeds	n_estimators	max_depth	min_samples_split	min_samples_leaf	max_features
738539	295	14	4	1	7
452644	250	12	4	1	5
291820	275	14	3	1	5
735552	285	12	4	1	7
179206	255	12	2	2	5
815781	265	12	3	2	3
762243	270	14	3	2	3
762088	270	16	3	1	9
906906	265	16	3	2	3
902874	270	12	3	1	5
333322	285	14	2	1	7
332170	260	12	2	2	3
192136	255	12	3	1	7
435425	275	12	2	1	5
649013	255	12	4	1	9
97408	275	12	2	1	3
172552	270	14	2	1	3
990060	265	12	4	1	5
987694	295	12	2	1	3
361947	270	14	2	2	9
232184	260	14	2	3	9
92105	290	12	3	1	5
837707	280	12	3	1	9
408872	285	18	3	1	9
377560	270	12	4	2	7
386984	280	12	3	3	3
914341	285	16	2	1	7
126607	290	14	3	1	9
890178	295	14	2	3	3
847592	260	12	2	1	5
91570	295	12	4	2	5
324067	285	18	4	1	5
397804	285	12	2	1	9
11515	255	16	2	1	5
444674	275	14	4	3	3
503730	290	16	3	3	5
289850	260	12	4	1	5
967165	265	14	2	1	5
38979	275	14	4	2	3
633843	275	14	4	1	3
387823	260	16	2	1	3
702609	290	12	2	1	5
919451	270	12	4	2	3
704357	270	12	3	1	3
453189	260	12	2	1	3
948895	285	12	2	1	3
131367	255	12	2	1	9
974291	265	14	2	2	5
674662	250	14	4	2	3
465432	255	18	3	1	5
509112	265	12	4	3	3
701440	250	14	3	3	5
429709	250	16	2	2	9
261435	275	12	2	1	3
652692	265	18	2	1	9
381719	280	12	3	1	9
597256	280	12	2	1	3
703905	290	14	3	1	5
913775	250	16	2	2	3
460141	260	12	3	2	3
824626	275	16	2	2	9
942199	290	12	3	3	3
427416	265	16	3	3	3
612241	265	16	2	3	5
838370	255	14	4	1	7
978679	295	14	3	1	9
898891	250	12	4	1	3
349681	290	16	2	3	5
119002	280	18	3	1	5
985215	255	18	3	3	5
186894	285	14	4	1	9
230417	260	14	2	3	3
408717	290	14	4	1	3
727457	275	12	3	1	7
783837	255	14	2	1	3
490196	250	12	4	1	5
344400	275	12	4	2	5
395966	255	12	4	2	3
32155	260	12	4	1	5
444069	260	14	2	1	5
953063	250	12	2	1	3
150221	260	14	4	3	9
574887	255	12	4	3	3
823596	275	12	3	1	3
488550	290	12	2	2	3
130565	275	12	3	1	3
479459	270	12	4	3	5
657404	250	12	2	1	3
229894	275	18	4	3	3
566365	285	12	2	2	9
538095	255	16	2	2	9
168307	295	16	2	1	9
64054	255	12	2	1	7
831909	275	12	4	2	5
638272	255	16	2	1	9
91044	255	12	2	3	5
961567	255	16	4	3	3
610070	270	12	4	3	7
701026	250	14	2	3	9
79557	260	12	4	1	3
82189	260	14	4	3	5
39266	270	14	3	1	9
29435	265	14	2	1	9
639495	270	12	3	1	3
18682	255	12	3	1	5
37807	295	14	2	3	5
285945	295	12	2	1	5
544817	275	12	4	1	9
904664	255	12	2	1	5
177975	285	12	2	1	3
692552	260	12	2	1	7
843767	250	16	4	2	3
37358	280	12	4	2	5
709451	255	12	2	2	3
948870	290	12	2	2	5
28337	285	12	4	2	3
84034	250	12	3	1	5
437323	285	12	2	1	5
366294	255	14	2	2	9
590759	250	12	2	1	3
198633	280	14	4	1	9
166620	290	12	3	3	5
360852	255	16	4	3	5
117270	285	14	3	3	5
195065	255	12	3	3	9
239381	260	12	3	2	9
293792	255	12	2	1	5
221684	290	16	3	3	3
192422	265	16	3	1	7
990905	295	14	4	2	7
769966	250	12	2	1	5
24618	290	14	4	1	9
424732	290	16	2	3	3
106371	250	12	2	1	5
771177	285	14	2	1	5
870552	255	14	3	2	3
303525	270	14	2	1	5
200730	255	12	2	1	5
29109	255	14	2	1	5
621019	260	12	4	3	5
232317	280	16	3	1	7
310754	270	12	3	2	3
100883	295	16	4	2	3
758584	255	18	4	1	9
142609	255	12	2	1	5
826231	280	14	3	1	7
929991	250	12	3	1	3
937492	260	12	2	1	5
452560	295	12	2	1	5
90888	250	18	2	3	3
723474	260	14	2	1	5
886115	255	18	2	1	7
491276	250	12	2	1	3
291980	285	18	2	3	3
818864	265	14	4	1	3
709371	285	14	3	1	7
174446	280	12	3	1	5
164474	250	12	4	2	5
603146	265	16	3	1	3
12658	250	14	3	1	5
88867	250	12	2	1	3
392251	255	16	2	1	3
225887	255	14	3	1	7
41377	290	18	2	1	3
321555	250	12	3	3	5
783943	260	12	3	2	5
806571	270	18	2	2	5
160204	290	12	3	1	5
399128	250	12	2	1	5
630425	265	12	2	1	5
706950	270	12	2	2	5
145702	270	12	4	1	5
624034	255	14	3	3	3
929360	285	14	2	1	3
155575	255	14	3	2	9
753839	290	16	3	1	5
471228	250	18	2	1	3
243382	255	12	3	1	3
85872	285	14	2	2	5
885812	265	12	2	1	7
586336	250	12	3	3	5
354154	255	14	4	1	5
807345	290	12	3	3	3
182602	280	12	3	3	3
203770	280	12	3	2	9
310862	255	14	2	2	5
198077	265	12	3	1	5
35900	255	18	3	1	9
603778	290	16	4	2	7
884492	295	12	2	1	5
594853	285	14	4	1	3
392091	270	12	4	2	7
181662	295	12	2	2	5
292980	285	12	4	3	5
648326	295	12	2	1	5
645771	290	12	3	1	5
697037	265	12	2	1	9
769921	290	16	2	3	3
93250	265	14	4	1	5
550961	295	12	3	2	3
