GeneA	GeneB	Class	From	Recs.add	Recs.sub	EssgCom	GOSemSim_MF	GOSemSim_BP	GOSemSim_CC	GeneMANIAGG	HI.add	HI.sub	BioDis	LofIn.add	LofIn.sub	BioGRIDPP	STRINGPP	REAC_FI	PS_2DbJacSim	HighexpPer	Abundance.add	Abundance.sub	COXPRESdbMRvalue	DOSemSim
ADAR	APOB	0	DD	1.119226	0.646253	2	0.451	0.317	0.515	0.0	0.489	0.285	0.050673	0.907595	0.907595	0	0.445	0.0	0.0	0.0	0.004301	0.002272	0.4977	0.356
ANKRD11	FLG	0	DD	0.4311783	0.16722356	2	0.0	0.465	0.778	0.0	0.286	0.128	0.057007	0.2879967	0.3039431	0	0.0	0.0	0.0	0.0	2.6E-5	2.6E-5	0.4696	0.183
ANKRD11	ARID1B	0	DD	0.233816	0.019094	1	0.0	0.022	0.912	0.0	0.339	0.075	0.054895	1.99995	5.0E-5	0	0.216	0.034670413	0.0	0.5882	5.4E-5	7.7E-5	0.2605	0.187
ARID1B	KMT2A	0	DD	0.5809639	0.21453911	0	0.567	0.891	0.795	0.0	0.92676723	0.33993787	0.031715	1.99995	5.0E-5	0	0.226	0.0	0.0	0.625	9.0E-5	1.5E-5	0.1731	0.296
ASXL3	ENG	0	DD	0.2727191	0.06418232	1	0.452	0.467	0.201	0.0	0.229	0.037	0.098089	1.989594	0.01036	0	0.0	0.0	0.0	0.3182	1.82E-4	3.2E-4	0.5618	0.0
CACNA1A	SLC26A1	0	DD	0.732373	0.385741	1	0.204	0.3	0.695	0.0	0.74	0.482	0.051575	1.000004	0.999996	0	0.0	0.0	0.0	0.1538	7.0E-6	2.0E-6	0.3955	0.182
CHD2	PRRT2	0	DD	0.184599	0.022954	1	0.602	0.08	0.332	0.0	0.75	0.242	0.128072	1.301736	0.698264	0	0.0	0.0	0.0	0.2778	6.5E-5	1.8E-5	0.4559	0.0
CHD8	COL5A1	0	DD	0.5587342	0.1951773	2	0.536	0.312	0.421	0.0	1.264	0.01	0.050673	2.0	0.0	0	0.0	0.0	0.0	0.2727	1.62E-4	1.79E-4	0.4989	0.515
COL4A1	CRYGD	0	DD	0.63967	0.34525	1	0.725	0.407	0.251	0.0	1.085	0.571	0.115605	1.008227	0.991774	0	0.0	0.0	0.0	0.0	3.32E-4	1.46E-4	0.5514	0.182
CREBBP	PRICKLE2	0	DD	0.685429	0.415974	1	0.0	0.493	1.0	0.0	1.164	0.836	0.045761	1.987837	0.012163	0	0.0	0.0	0.0	0.3333	2.6E-5	2.9E-5	0.5081	0.0
