GeneA	GeneB	Class	From	Recs.add	Recs.sub	EssgCom	GOSemSim_MF	GOSemSim_BP	GOSemSim_CC	GeneMANIAGG	HI.add	HI.sub	BioDis	LofIn.add	LofIn.sub	BioGRIDPP	STRINGPP	REAC_FI	PS_2DbJacSim	HighexpPer	Abundance.add	Abundance.sub	COXPRESdbMRvalue	DOSemSim
HCN3	OR10J3	0	ref_1000random	0.28209037	0.080661446	0	0.0	0.204	1.0	0.0	0.15	0.076	0.095715	0.016133	0.014054	0	0.0	0.0	0.0	0.0	5.0E-6	8.0E-6	0.50271016	0.0
LCORL	SHD	0	ref_1000random	0.3172744	0.09582542	0	0.31898987	0.13339442	0.3229697	0.0	0.493	0.075	0.125308	0.96312	0.963109	0	0.0	0.0	0.0	0.1	1.0E-6	1.0E-6	0.4853	0.04736913
SOCS7	OR1N1	0	ref_1000random	0.3189391	0.11940547	1	0.0	0.167	0.356	0.0	0.323	0.177	0.064396	1.001914	0.996027	0	0.0	0.0	0.0	0.049987502	9.585025E-4	0.001683726	0.5141062	0.0
CA2	BEST1	0	ref_1000random	0.528862	0.215462	0	0.37	0.42	0.646	0.0	0.296	0.076	0.031436	0.10037	0.10037	0	0.0	0.0	0.0	0.3125	0.003958	0.007016	0.497	0.305
ZNF200	LRRC29	0	ref_1000random	0.3288671	0.11349987	0	0.27495995	0.13753447	0.35170916	0.0	0.257	0.053	0.09126	0.007206	0.007202	0	0.0	0.0	0.0	0.1818	0.0011387486	0.0019462934	0.5568	0.049857933
ACLY	RPAP1	0	ref_1000random	0.642319	0.443008	1	1.0	0.0	0.0	0.0	0.694	0.572	0.062406	0.996415	0.996415	0	0.0	0.0	0.0	0.3571	0.005296	0.009134	0.1975	0.0
LGMN	SPG20	0	ref_1000random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
WAS	GSTO1	0	ref_1000random	0.899718	0.219187	0	0.548	0.218	0.698	1.2E-4	0.954	0.756	0.102932	1.00624	0.976164	0	0.0	0.0	0.0	0.1667	0.00902	0.01534	0.5233	0.198
RBM26	LRRC24	0	ref_1000random	0.213291	0.008106	0	0.0	0.0	0.166	0.0	0.58	0.254	0.090995	1.775313	0.224681	0	0.0	0.0	0.0	0.12153597	5.06E-4	8.8E-4	0.5634	0.0
KIAA1958	GPR45	0	ref_1000random	0.29631191	0.0907166	0	0.25483888	0.15378942	0.3407305	0.0	0.251	0.115	0.118946	0.913767	0.815762	0	0.0	0.0	0.0	0.05	6.0E-6	3.0E-6	0.4989	0.0115611395
CYP2U1	ZNF98	0	ref_1000random	0.36514542	0.14702286	0	0.173	0.0	0.0	0.0	0.36477575	0.14629775	0.086907	0.081785	0.081781	0	0.0	0.0	0.0	0.1429	5.0E-6	6.0E-6	0.4702	0.0
CTRC	GALNT4	0	ref_1000random	0.41980347	0.17338347	0	0.274	0.303	0.296	0.0	0.37715662	0.16275252	0.090085	0.112935	0.112925	0	0.0	0.0	0.0	0.0625	4.6E-5	5.0E-5	0.5164	0.0
CRYGC	STX3	0	ref_1000random	0.570609	0.221534	0	0.684	0.127	0.41	0.0	0.204	0.01	0.108506	0.674219	0.587	0	0.0	0.0	0.0	0.0625	0.001147	0.001712	0.5281	0.0
SIRT7	INPP5D	0	ref_1000random	0.246303	0.035492	0	0.502	0.203	0.413	3.0E-5	0.5875804	0.2743057	0.052784	0.734539	0.399678	0	0.0	0.0	0.0	0.1765	0.001428	0.0025	0.4889	0.517
CLIC3	ZCCHC14	0	ref_1000random	0.219253	2.32E-4	0	0.36124846	0.12981819	0.31760222	0.0	0.858	0.066	0.129238	0.949224	0.948448	0	0.0	0.0	0.0	0.1111	1.48E-4	2.28E-4	0.5663	0.026211845
IFT43	POU2F3	0	ref_1000random	0.37242746	0.14548151	0	1.0	0.082	0.503	0.0	0.36122298	0.1670759	0.096798	0.002889	0.002888	0	0.0	0.0	0.0	0.0	2.7E-5	1.1E-5	0.5199	0.0
TAF6	DOCK11	0	ref_1000random	0.42588872	0.15832031	1	0.583	0.151	1.0	0.0	1.036	0.362	0.054895	0.998759	0.99741	0	0.0	0.0	0.0714	0.25	1.09E-4	4.0E-6	0.4609	0.0
SLC7A6OS	MMP26	0	ref_1000random	0.33935395	0.13857618	0	0.0	0.192	0.0	0.0	0.134	0.07	0.054186	0.829499	0.785155	0	0.0	0.0	0.0	0.0769	3.4E-5	5.9E-5	0.5632	0.0
HSF4	PCYT1A	0	ref_1000random	0.5469297	0.22429244	1	0.125	0.155	0.544	0.0	0.94	0.472	0.115116	0.0983	0.0983	0	0.237	0.0	0.0	0.0	0.0031632357	0.0046635666	0.5329	0.261
ARHGEF18	RNASE4	0	ref_1000random	0.24953067	0.058458313	0	0.158	0.093	0.444	0.0	0.14	0.044	0.108564	0.915385	0.90135	0	0.0	0.0	0.0	0.12	2.68E-4	4.17E-4	0.5328	0.0
CALB1	MYBPC1	0	ref_1000random	0.808627	0.393	0	0.584	0.161	0.444	0.0	0.509	0.239	0.069675	1.556851	0.240998	0	0.0	0.0	0.0	0.0	1.14E-4	8.3E-5	0.4577	0.243
HOPX	GRIN2C	0	ref_1000random	0.388962	0.026736	1	0.469	0.249	0.305	0.0	0.241	0.047	0.060174	0.150903	0.143028	0	0.0	0.0	0.0	0.1765	2.2E-5	3.7E-5	0.4485	0.0
TAF9	LTBP1	0	ref_1000random	0.535787	0.240891	1	0.545	0.28	0.387	0.0	1.41	0.492	0.030448	0.526292	0.526177	0	0.0	0.0	0.0	0.11485135	5.29E-4	7.4E-4	0.6428	0.0
SIX3	IL7R	0	ref_1000random	0.798304	0.361557	1	0.432	0.293	0.371	0.0	1.394	0.376	0.057007	0.348883	0.348875	0	0.0	0.0	0.0	0.0	9.0E-6	1.0E-5	0.6287	0.21
GNA11	PACRG	0	ref_1000random	0.349829	0.003335	0	0.691	0.343	0.52	0.0	0.552	0.358	0.060174	0.966288	0.966078	0	0.0	0.0	0.0	0.0769	3.14E-4	5.4E-4	0.5403	0.0
SCGB3A1	KRTAP10-9	0	ref_1000random	0.218862	0.0282	0	0.69	0.225	0.141	0.0	0.28278247	0.07953009	0.298725	0.895432	0.009844	0	0.0	0.0	0.0	0.0	2.1E-4	5.3E-5	0.4889	0.0
SNCA	RHOF	0	ref_1000random	0.56108	0.270116	0	0.327	0.261	0.759	0.0	0.826	0.57	0.028947	0.84717	0.836755	0	0.0	0.0	0.0	0.0909	0.002378	0.00405	0.5304	0.467
ABCC9	LAPTM4A	0	ref_1000random	0.264903	0.048815	0	0.26572683	0.15685287	0.38902473	0.0	0.473	0.287	0.11617	0.504503	0.503102	0	0.0	0.0	0.0	0.5	2.7E-5	4.7E-5	0.5229	0.046104115
RHOT1	WBP1L	0	ref_1000random	0.4052279	0.13920936	0	0.5003506	0.24957648	0.5564773	0.0	0.89716566	0.32388452	0.051833	1.864813	0.046039	0	0.0	0.0	0.0	0.2857	9.4E-5	1.47E-4	0.3037	0.112253144
HMG20B	KIF24	0	ref_1000random	0.4225042	0.148064	0	0.541	0.145	0.362	0.0	0.88	0.068	0.0929	0.342236	0.342236	0	0.0	0.0	0.0	0.0909	0.002935296	0.0046657277	0.4224	0.0
H2AFJ	FUT7	0	ref_1000random	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
LCOR	RNASEL	0	ref_1000random	0.209641	0.033066	0	0.541	0.0	0.659	0.0	0.168	0.058	0.025336	0.9132	0.9132	0	0.0	0.0	0.0	0.4545	3.1E-5	3.3E-5	0.4378	0.0
TMEM208	KHDRBS3	0	ref_1000random	0.27548	0.057455	0	0.0	0.267	0.0	0.0	0.576	0.18	0.096752	1.293164	0.443415	0	0.0	0.0	0.0	0.0	8.0E-5	1.28E-4	0.4644	0.0
ABRACL	ITGA9	0	ref_1000random	0.40334347	0.16573374	1	0.0	0.382	0.0	0.0	0.44463137	0.21759602	0.09464	0.363885	0.171501	0	0.0	8.94501E-4	0.0	0.0952	0.002625	0.004633	0.5209	0.0
DTWD2	ARHGAP39	0	ref_1000random	0.29885405	0.105973646	0	0.0	0.0	0.0	0.0	0.3600455	0.15938607	0.094323	0.001703	0.00166	0	0.0	0.0	0.0	0.3077	3.2E-5	2.4E-5	0.4926	0.0
ZNF136	KLK2	0	ref_1000random	0.30578792	0.09901772	0	0.12	0.134	0.0	0.0	0.23	0.094	0.089043	2.93E-4	2.92E-4	0	0.0	0.0	0.0	0.0	3.6E-5	3.5E-5	0.5319	0.0
SAP30L	EI24	0	ref_1000random	0.217534	0.007724	0	0.0	0.136	0.512	0.0	0.931	0.425	0.0929	1.822354	0.107982	0	0.0	0.0	0.0	0.1875	5.4E-5	1.4E-5	0.5998	0.0
UGCG	HCAR2	0	ref_1000random	0.4665734	0.18417235	1	0.131	0.285	0.285	0.0	0.7330174	0.35900804	0.050673	1.002678	0.962459	0	0.0	0.0	0.0	0.5625	8.0E-6	2.0E-6	0.4351	0.301
