GeneA	GeneB	Class	From	Recs.add	Recs.sub	EssgCom	GOSemSim_MF	GOSemSim_BP	GOSemSim_CC	GeneMANIAGG	HI.add	HI.sub	BioDis	LofIn.add	LofIn.sub	BioGRIDPP	STRINGPP	REAC_FI	PS_2DbJacSim	HighexpPer	Abundance.add	Abundance.sub	COXPRESdbMRvalue	DOSemSim
WHRN	MYO6	0	DIDA_NDI	0.64565194	0.24298136	0	1	0.242	0.514	4e-05	0.88532305	0.33582893	0.043038025	0.90910566	0.4422616	0	0.456	0	0	0.15	0.000693	0.001149	0.3078	0.652
PCARE	USH2A	0	DIDA_NDI	0.6053509	0.21005143	0	0	0.344	0.527	0	0.79006284	0.26207215	0.060375605	0.85533047	0.32855678	0	0.657	0.18698896	0	0.2916864	1e-06	1e-06	0.165	0.733
LMNA	RP1L1	0	DIDA_NDI	0.40951243	0.17303084	0	0	0.229	0.386	0	0.601	0.443	0.103305	0.5470162	0.45650724	0	0	0	0	0	0.009408	0.016692	0.583	0.113
ITGA7	CEP152	0	DIDA_NDI	0.46634	0.266366	1	1	0.244	0.316	0	0.371	0.093	0.052784	0	0	0	0	0	0	0.0476	0.000101	0.000169	0.4785	0.306
GJB2	DYNC2H1	0	DIDA_NDI	0.611939	0.399447	2	0.342	0.352	0.42	0	0.502	0.302	0.054895	0	0	0	0	0	0	0.0588	0.0011574844	0.002083297	0.6397	0.602
KISS1R	BBS9	0	DIDA_NDI	0.360669	0.041029	1	0.572	0.21	0.534	0	0.416	0.222	0.052784	0.003971	0.003971	0	0	0	0	0	0.000134	0.000213	0.5104	0.259
PDE3A	IL17RD	0	DIDA_NDI	0.270622	0.022766	0	0.131	0.544	0.574	0	0.661	0.495	0.09853	0.106638	0.106586	0	0	0	0	0.1111	6.1e-05	0.000101	0.4937	0
PYGM	OCA2	0	DIDA_NDI	0.494411	0.238016	1	0.486	0.167	0.565	0	0.583	0.377	0.365166	0	0	0	0.195	0	0	0	0.006833	0.012124	0.4773	0.3
LRP5	USH1C	0	DIDA_NDI	0.272944	0.065059	1	0.563	0.328	0.464	0	0.133	0.001	0.052784	0.998356	0.998356	0	0	0	0	0.0385	7e-06	7e-06	0.3836	1
CAV3	ATP2B2	0	DIDA_NDI	0.737419	0.376504	0	0.486	0.395	0.534	0	1.013	0.303	0.054895	1.339758	0.660085	0	0.226	0	0	0	9.8e-05	9.4e-05	0.4246	0.361
COL4A4	MYO7A	0	DIDA_NDI	0.58783	0.089803	0	0.198	0.288	0.295	0	0.191	0.023	0.060174	0	0	0	0.158	0	0	0.0667	4.9e-05	6e-05	0.4839	0.48
LMBRD1	LRP5	0	DIDA_NDI	0.206661	0.001224	1	0.076	0.226	0.364	0	0.256	0.124	0.085139	0.998358	0.998354	0	0	0	0	0.1304	0.001018454	0.0017921412	0.4819	0
BBS4	DYNC2H1	0	DIDA_NDI	0.433996	0.221504	2	0.633	0.338	0.655	0	0.207	0.007	0.050673	0.000141	0.000141	0	0.558	0	0	0.5385	0.0011900607	0.0017458946	0.1912	0.579
STXBP2	USH2A	0	DIDA_NDI	0.3741497	0.15498441	0	0.783	0.16	0.452	0	0.624	0.366	0.097154	7.8e-05	7.8e-05	0	0	0	0	0.0476	0.001612	0.002858	0.6041	0
BBS7	MYO7A	0	DIDA_NDI	0.518307	0.159325	0	0.666	0.319	0.533	0	0.267	0.053	0.059285	0.001179	0.001179	0	0.191	0	0	0.1111	1.1e-05	7e-06	0.5679	0.627
MAN1B1	USH2A	0	DIDA_NDI	0.34335005	0.11166063	0	0.256	0.118	0.324	0	0.42	0.162	0.093468	3e-06	3e-06	0	0	0	0	0.2143	5.5e-05	9.6e-05	0.5283	0.172
TJP2	CEP152	0	DIDA_NDI	0.349906	0.149933	1	0.705	0.169	0.579	0	0.441	0.163	0.050673	1e-06	1e-06	0	0	0	0	0.2222	0.000488	0.000855	0.3492	0
MYO6	RP1L1	0	DIDA_NDI	0.27850595	0.07638299	0	0	0.161	0.393	0	0.295	0.137	0.136709	0.32879567	0.30876788	0	0	0	0	0	0.00067	0.001189	0.5057	0.074
LRP5	TMPRSS3	0	DIDA_NDI	0.209391	0.001506	1	0.154	0.147	0.251	6e-05	0.115	0.017	0.085139	0.998396	0.998315	0	0	0	0.25	0.2083	0.0010210329	0.0018007852	0.455	0.408
CEP152	FGA	0	DIDA_NDI	0.51721	0.317237	0	0.69	0.185	0.329	0	0.318	0.04	0.049438	0	0	0	0	0	0	0	0.0014964368	0.0024504494	0.5097	0.306
DYNC2H1	ADGRV1	0	DIDA_NDI	0.5772808	0.23624244	1	0.398	0.215	0.463	0	0.6053391	0.25290793	0.07086271	0.57436186	0.3442878	0	0	0	0	0.05	0.0017481094	0.0026116448	0.2583	1
PINK1	CDH23	0	DIDA_NDI	0.37937	0.026782	1	1	0.1	0.391	0	0.392	0.156	0.057007	0.050693	0.050693	0	0	0	0	0.0455	6e-06	0	0.4191	0.436
JUP	LAMA1	0	DIDA_NDI	0.6425731	0.2992244	2	0.699	0.361	0.34	0	1.14	0.838	0.057007	0.037535	0.037535	0	0	0	0	0	0.000978	0.001706	0.528	0.63
ATP2B2	TTN	0	DIDA_NDI	0.56464	0.203725	1	0.517	0.283	0.475	8.091781e-06	1.01	0.306	0.025336	0.999922	0.999922	0	0	0	0	0	0.000339	0.000333	0.4134	0.263
BBS5	USH2A	0	DIDA_NDI	0.52820534	0.18911093	0	0.688	0.311	0.48	0	0.461	0.203	0.052784	0.002599	0.002599	0	0.228	0	0	0.1667	1e-06	1e-06	0.4355	0.446
CAV3	CDH23	0	DIDA_NDI	0.760037	0.353885	0	1	0.267	0.354	0	0.629	0.081	0.0929	0.390529	0.289143	0	0	0	0	0	2.6e-05	3.4e-05	0.3749	0.538
SLC7A9	ADGRV1	0	DIDA_NDI	0.37555432	0.13984102	0	0.415	0.155	0.534	0	0.5038635	0.22297414	0.1012818	0.6035304	0.4061831	0	0	0	0	0	0	0	0.4728	0
WHRN	MAN1B1	0	DIDA_NDI	0.36189786	0.12155668	0	0.355	0.103	0.353	0	0.59119266	0.25381246	0.09145525	0.7114661	0.41464603	0	0	0	0	0.2941	7.8e-05	5.6e-05	0.3598	0.194
MYH7	CHD7	0	DIDA_NDI	0.307291	0.027989	1	0.473	0.411	0.489	0	0.561	0.319	0.059118	1.000146	0.999854	0	0	0	0.0588	0	0.001807	0.003175	0.4535	0.468
TTN	MEFV	0	DIDA_NDI	0.598519	0.169846	2	0.659	0.213	0.585	3.4171583e-07	0.427	0.277	0.0929	0	0	0	0	0	0	0	0.000265	0.000465	0.5055	0.316
LRP5	CDH23	0	DIDA_NDI	0.307019	0.099134	1	1	0.221	0.37	0	0.34	0.208	0.034939	1.049049	0.947663	0	0	0	0	0.2174	5e-06	3e-06	0.4625	0.447
SPRY4	TTN	0	DIDA_NDI	0.526084	0.242281	2	1	0.164	0.466	1.3299668e-06	1.253	0.549	0.050673	0.10992	0.10992	0	0	0	0	0	0.00028	0.000438	0.5437	0.517
ATP2B2	GJB2	0	DIDA_NDI	0.686151	0.325236	1	0.349	0.335	0.504	0	1.06	0.256	0.066786	0.999922	0.999922	0	0.239	0	0	0	7.8e-05	0.00013	0.4336	0.524
PCDH15	USH2A	0	DIDA_NDI	0.59384954	0.20470475	0	0	0.553	0.491	0	0.334	0.076	0.025336	0	0	0	0.838	0	0	0.1111	2e-06	1e-06	0.0654	0.57
MYH7	HFE	0	DIDA_NDI	0.898062	0.562781	0	0.61	0.121	0.393	0	0.538	0.342	0.03578	0.000147	0.000145	0	0	0	0	0	0.001802	0.003184	0.5058	0.405
MYO7A	MYH7B	0	DIDA_NDI	0.662715	0.014918	0	0.50855815	0.33568022	0.51463974	5.2e-05	0.232	0.018	0.066333	0	0	0	0.303	0	0.25	0.0909	3e-05	2.6e-05	0.3795	0.2846346
DSP	SCN5A	0	DIDA_NDI	0.627456	0.111817	2	0.57	0.452	0.653	0	0.817	0.333	0.025336	1.995649	0.004154	0	0.493	0	0	0.0909	0.000829	0.001469	0.5318	0.473
SHH	OCA2	0	DIDA_NDI	1.257645	0.525217	2	0.553	0.267	0.449	0.00011	0.588	0.382	0.266796	0.912961	0.912961	0	0.255	0	0	0	9e-06	1.7e-05	0.4679	0.402
