seed	chisq	p_value	DIEP_acc	DiGePred_acc
32923	20.25	6.79534624946012e-06	0.9296875	0.7109375
97669	24.7352941176471	6.57686992064812e-07	0.9375	0.703125
27443	20.25	6.79534624946012e-06	0.9296875	0.7109375
26628	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
16971	20.25	6.79534624946012e-06	0.9296875	0.7109375
85934	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
19015	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
76454	20.25	6.79534624946012e-06	0.9296875	0.7109375
32211	22.4	2.21374012308886e-06	0.9375	0.7109375
11936	20.25	6.79534624946012e-06	0.9296875	0.7109375
18689	20.25	6.79534624946012e-06	0.9296875	0.7109375
96372	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
28488	22.4	2.21374012308886e-06	0.9375	0.7109375
53534	20.25	6.79534624946012e-06	0.9296875	0.7109375
29211	22.4	2.21374012308886e-06	0.9375	0.7109375
12169	21.1891891891892	4.16105012834749e-06	0.9296875	0.703125
69768	18.2702702702703	1.91675345566975e-05	0.9140625	0.703125
87714	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
71687	22.4	2.21374012308886e-06	0.9375	0.7109375
93111	22.4	2.21374012308886e-06	0.9375	0.7109375
77460	20.25	6.79534624946012e-06	0.9296875	0.7109375
33925	22.4	2.21374012308886e-06	0.9375	0.7109375
33906	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
57914	20.25	6.79534624946012e-06	0.921875	0.703125
74834	20.25	6.79534624946012e-06	0.9296875	0.7109375
21822	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
70061	22.4	2.21374012308886e-06	0.9296875	0.703125
78422	20.25	6.79534624946012e-06	0.9296875	0.7109375
88975	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
66474	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
73031	14.7692307692308	0.000121501975643081	0.90625	0.7109375
95224	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
66123	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
79159	22.4	2.21374012308886e-06	0.9375	0.7109375
82910	16.4473684210526	5.00195684358131e-05	0.90625	0.703125
23074	22.4	2.21374012308886e-06	0.9375	0.7109375
44840	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
38325	16.4473684210526	5.00195684358131e-05	0.9140625	0.7109375
89040	13.225	0.000276239723947339	0.8984375	0.7109375
54546	20.25	6.79534624946012e-06	0.9296875	0.7109375
94782	18.2702702702703	1.91675345566975e-05	0.921875	0.7109375
69303	14.7692307692308	0.000121501975643081	0.90625	0.7109375
40380	13.225	0.000276239723947339	0.8984375	0.7109375
84878	16.4473684210526	5.00195684358131e-05	0.9140625	0.7109375
84024	20.25	6.79534624946012e-06	0.9296875	0.7109375
46701	22.4	2.21374012308886e-06	0.9375	0.7109375
81595	24.7352941176471	6.57686992064812e-07	0.9453125	0.7109375
43823	20.25	6.79534624946012e-06	0.9296875	0.7109375
