GeneA	GeneB	Class	From	Recs.add	Recs.sub	EssgCom	GOSemSim_MF	GOSemSim_BP	GOSemSim_CC	GeneMANIAGG	HI.add	HI.sub	BioDis	LofIn.add	LofIn.sub	BioGRIDPP	STRINGPP	REAC_FI	PS_2DbJacSim	HighexpPer	Abundance.add	Abundance.sub	COXPRESdbMRvalue	DOSemSim
MYBPH	MYH7	1	Manual	0.285782	0.049498	0	0.437	0.728	0.0	3.4E-4	0.513	0.367	0.009384	1.46E-4	1.46E-4	0	0.71	0.0	0.0	0.125	0.001808	0.003173	0.1695	0.0
CFTR	MUC4	1	Manual	0.6628972	0.25991657	1	0.214	0.224	0.601	0.0	0.977	0.397	0.006334	1.0503993	0.49157625	0	0.618	0.0	0.0	0.4545	9.0E-6	2.0E-6	0.3186	0.538
SMAD6	BMP2	1	Manual	1.034494	0.515133	2	0.629	0.548	0.56	4.0E-4	1.95	0.05	0.00563	0.938093	0.938079	0	0.987	1.0	0.0	0.381	1.9E-5	3.0E-5	0.3239	0.436
MYH7	LAMA4	1	Ref	0.567651	0.23237	1	0.437	0.116	0.107	0.0	0.561	0.319	0.085368305	1.46E-4	1.46E-4	0	0.249	0.0	0.0	0.0	0.002046	0.002751	0.538	0.426
TNFRSF13B	TCF3	1	Ref	0.738345	0.249047	1	0.465	0.309	0.425	0.0	0.919	0.807	0.050673	0.185647	0.185647	0	0.189	0.0	0.0	0.3	3.9E-5	2.8E-5	0.2318	0.243
CAPN3	DES	1	Manual	0.229607	0.014441	0	0.532	0.185	0.771	2.5E-5	1.48	0.004	0.023929	0.003082	0.003082	0	0.0	0.0	0.0	0.0588	0.003814	0.006761	0.3979	0.451
PCDH15	USH1G	1	Ref	0.7398367	0.26037425	0	0.0	0.906	0.279	0.0	0.351	0.059	0.030263	0.001086	0.001086	0	0.902	0.0	0.0	0.0909	0.002871328	0.00309032	0.6806	1.0
MYH7	TNNT2	1	Manual	0.604532	0.269252	1	0.726	0.722	0.807	2.8E-4	0.679	0.201	0.022521	0.012999	0.012707	0	0.91	0.0	0.0	0.6667	0.00291	0.001217	0.16	0.613
PRPF31	CNOT3	1	Manual	0.416178	0.213073	2	1.0	0.199	0.405	1.8E-4	0.884	0.496	0.069513	1.968013	0.031922	0	0.779	0.0	0.0	0.75	0.001503	0.001493	0.0935	0.0
MUTYH	OGG1	1	Manual	0.757316	0.174557	0	0.789	0.736	0.837	0.0014	0.396	0.152	0.027195	0.0	0.0	0	0.939	0.0	0.25	0.5333	8.0E-6	1.3E-5	0.2821	0.593
DUOX2	DUOX1	1	Manual	0.435654	0.00517	0	0.828	0.965	0.86	2.1E-4	0.393	0.141	0.006334	0.0	0.0	0	0.0	0.0	1.0	0.3333	6.0E-6	3.0E-6	0.007	1.0
KCNT1	KCNJ10	1	Manual	0.480231	0.269804	1	0.621	0.082	0.802	0.0	0.242	0.07	0.07328521	0.603738	0.59304	0	0.507	0.11236547	0.0	0.4286	9.419862E-4	0.0014779398	0.4532	0.0
SCAP	AGXT2	1	Manual	0.344572	0.022985	0	0.158	0.233	0.627	0.0	0.193	0.095	0.15192	0.022555	0.022555	0	0.0	0.0	0.0	0.0	1.5E-5	7.0E-6	0.5184	0.0
SCN5A	CACNA1C	1	Ref	0.388532	0.127106	2	0.745	0.666	0.718	5.4E-5	0.83	0.346	0.025336	1.995746	0.004251	0	0.407	0.0	0.1667	0.1333	1.0E-6	0.0	0.4974	0.607
FZD4	TSPAN12	1	Manual	0.288681	0.130729	0	1.0	0.491	0.514	4.8E-4	0.707	0.113	0.052784	1.475708	0.365866	0	0.87	0.64	0.0	0.1	5.0E-6	5.0E-6	0.2125	0.0
AHI1	CEP290	1	Ref	0.438231	0.183149	2	1.0	0.581	0.694	0.0	0.525	0.235	0.007038	0.0	0.0	0	0.992	1.0	0.0	0.4667	6.0E-6	5.0E-6	0.0693	0.564
CEP290	RPE65	1	Ref	0.566401	0.054978	1	0.228	0.146	0.484	0.0	0.494	0.266	0.035406	0.0	0.0	0	0.716	0.0	0.0	0.1111	1.1E-5	4.0E-6	0.5126	0.737
CEP290	CRB1	1	Ref	0.505978	0.115402	2	1.0	0.198	0.397	0.0	0.65	0.11	0.054895	0.0	0.0	0	0.721	0.0	0.0	0.125	8.3E-5	1.32E-4	0.5411	0.532
IFNAR1	IFNGR2	1	Ref	0.237122	0.08873	0	0.644	0.808	0.851	3.2E-4	0.176	0.002	0.022521	0.881901	0.880661	0	0.861	0.0	1.0	0.6875	2.0E-6	3.0E-6	0.094	0.494
KCNE2	KCNH2	1	Ref	0.409025	0.186171	1	0.85	0.872	0.861	0.0011	0.767	0.627	0.006334	0.99707	0.995033	0	0.995	1.0	0.0	0.0	3.0E-6	6.0E-6	0.4184	0.0
CLCNKB	SLC12A3	1	Ref	0.577801	0.022346	0	0.0	0.425	0.746	5.1E-4	0.311	0.073	0.073824	0.0	0.0	0	0.81	0.30198365	0.0	0.3333	1.0E-5	1.2E-5	0.2194	0.863
