GeneA	GeneB	Class	From	Recs.add	Recs.sub	EssgCom	GOSemSim_MF	GOSemSim_BP	GOSemSim_CC	GeneMANIAGG	HI.add	HI.sub	BioDis	LofIn.add	LofIn.sub	BioGRIDPP	STRINGPP	REAC_FI	PS_2DbJacSim	HighexpPer	Abundance.add	Abundance.sub	COXPRESdbMRvalue	DOSemSim
BBS2	MKKS	1	DIDA	0.401269	0.210294	1	1	0.719	0.706	0.00061	0.59	0.296	0.023929	0	0	0	0.973	1	0	0	2.2e-05	3.2e-05	0.4835	0.821
BBS2	BBS4	1	DIDA	0.423237	0.232262	1	0.752	0.728	0.746	0.0022	0.254	0.04	0.00563	0.000141	0.000141	1	0.995	1	0	0.2143	2.3e-05	3.2e-05	0.1218	0.728
BBS1	BBS7	1	DIDA	0.78923404	0.27360827	1	0.897	0.366	0.883	0.00038	0.80393285	0.2676649	0.00563	0.001179	0.001179	1	0.998	1	0	0.4211	1e-05	4e-06	0.4043	0.799
BBS1	BBS2	1	DIDA	0.8098924	0.28162363	1	0.897	0.564	0.765	0.00012	0.7955018	0.25947648	0.00563	0	0	1	0.999	1	0	0.2105	2.7e-05	2.5e-05	0.1129	0.894
BBS1	MKKS	1	DIDA	0.7474425	0.25935948	2	0.897	0.372	0.724	0	0.73686695	0.25667408	0.023929	0	0	0	0.979	1	0	0.125	8e-06	7e-06	0.4923	0.727
BBS1	BBS4	1	DIDA	0.7791536	0.26479676	2	0.739	0.51	0.777	2.6e-05	0.80130243	0.25274757	0.00563	0.000141	0.000141	1	0.999	1	0	0.4667	9e-06	7e-06	0.1374	0.83
BBS1	CCDC28B	1	DIDA	0.88733333	0.3269228	1	1	1	1	0.00061	0.8874261	0.33465233	0.008906	0	0	0	0.793	0.64	0	0.2353	2.5e-05	2.3e-05	0.4816	0.894
BBS7	BBS4	1	DIDA	0.507241	0.148259	1	0.752	0.52	0.744	0.00049	0.267	0.053	0.00563	0.00132	0.001038	1	0.997	1	0	0.3125	6e-06	2e-06	0.2497	0.604
BBS7	BBS2	1	DIDA	0.274978	0.084004	0	1	0.55	0.912	0.0027	0.307	0.013	0.00563	0.001179	0.001179	1	0.999	1	0.1429	0.2222	2.4e-05	2.9e-05	0.2484	0.926
BBS5	BBS10	1	DIDA	0.373871	0.075889	0	0.857	0.15	0	0	0.422	0.242	0.023929	0.002599	0.002599	0	0.991	1	0	0.3571	0.00097619015	0.0017278373	0.5277	1
BBS10	MKKS	1	DIDA	0.454773	0.156791	1	1	0.35	0	0.001	0.533	0.353	0.006334	0	0	0	0.997	1	1	0.1538	0.0010657323	0.0017014691	0.3203	0.837
BBS10	BBS12	1	DIDA	0.321826	0.023844	0	1	0.438	0	0.0011	0.138	0.042	0.025336	0	0	0	0.995	1	1	0.2667	0.0010766613	0.0016769759	0.1718	1
BBS12	BBS4	1	DIDA	0.500585	0.154915	1	1	0.187	0	5e-04	0.155	0.059	0.023929	0.000141	0.000141	0	0.983	1	0	0.6	5e-06	0	0.1711	0.604
BBS1	BBS10	1	DIDA	0.7682785	0.26367474	1	0.897	0.614	0	0	0.7464217	0.25670633	0.023929	0	0	0	0.991	1	0	0.3158	0.0011153816	0.0017778738	0.3125	0.799
BBS10	BBS2	1	DIDA	0.244478	0.053504	0	1	0.305	0	7.1e-05	0.237	0.057	0.023929	0	0	0	0.991	1	0	0.25	0.0009803586	0.001706304	0.2591	0.926
BBS2	BBS12	1	DIDA	0.268322	0.077348	0	1	0.211	0	0.00046	0.195	0.099	0.023929	0	0	0	0.992	1	0	0.1333	2.3e-05	3.2e-05	0.2491	0.926
BBS1	TTC8	1	DIDA	0.815973	0.28600678	2	0.897	0.534	0.83	2e-04	0.89602786	0.30531818	0.00563	0.345393	0.345392	1	0.997	1	0	0.4706	1.2e-05	1e-06	0.1138	0.874
ARL6	TTC8	1	DIDA	0.409109	0.0072	1	0.612	0.321	0.553	0	0.24	0.1	0.054895	0.349663	0.341122	0	0.965	1	0	0.1579	5.1e-05	6.9e-05	0.209	0.719
BBS7	TTC8	1	DIDA	0.380445	0.021463	1	1	0.347	0.77	0.00061	0.33	0.01	0.00563	0.346571	0.344214	1	0.994	1	0	0.3333	1e-05	4e-06	0.2441	0.719
NEK1	DYNC2H1	1	DIDA	0.199227	0.013265	2	0.409	0.365	0.565	0	0.614	0.414	0.066156	0	0	0	0.909	0	0	0.4286	0.0016493491	0.001967234	0.1234	0.246
MYH7	RBM20	1	DIDA	0.6890704	0.2440301	0	0.367	0.288	0.473	4.2e-05	0.752	0.128	0.04022855	0.76562697	0.33534274	0	0.575	0	0	0.2727	0.001801	0.003185	0.2622	1
DSP	TTN	1	DIDA	0.753819	0.014546	2	0.67	0.359	0.558	3.6303034e-05	0.927	0.223	0.029166	0.999902	0.999902	0	0.567	0	0	0	0.001092	0.001003	0.5628	0.256
MYH7	NEXN	1	DIDA	0.270234	0.065046	0	0.359	0.18	0.515	0.00014	0.6	0.28	0.052207	0.000149	0.000142	0	0.262	0	0	0.2308	0.002217	0.002448	0.3918	0
NEXN	TTN	1	DIDA	0.486776	0.281588	1	0.578	0.229	0.569	7.349867e-05	0.512	0.192	0.09464	4e-06	4e-06	0	0.342	0	0.3571	0.2308	0.000682	0.000276	0.3442	0
GDAP1	MFN2	1	DIDA	0.255422	0.070961	1	0	0.442	0.831	0	0.228	0.072	0.035008	1.000001	0.999632	0	0.85	0.31974638	0	0	0.000154	1.4e-05	0.4136	0.502
EMD	LMNA	1	DIDA	1.523259	0.448592	0	1	0.441	0.765	0.0033	0.577	0.467	0.118795	1.837857	0.149041	1	0.952	1	0	0.4348	0.010683	0.014431	0.1988	0.545
