GeneA	GeneB	Class	From	Recs.add	Recs.sub	EssgCom	GOSemSim_MF	GOSemSim_BP	GOSemSim_CC	GeneMANIAGG	HI.add	HI.sub	BioDis	LofIn.add	LofIn.sub	BioGRIDPP	STRINGPP	REAC_FI	PS_2DbJacSim	HighexpPer	Abundance.add	Abundance.sub	COXPRESdbMRvalue	DOSemSim
CDK11B	PADI1	0	cVTrios	0.42349917	0.18054841	1	0.217	0.285	1.0	0.0	0.65964687	0.34024313	0.050253	0.728294	0.728294	0	0.0	0.0	0.0	0.0	1.39E-4	2.26E-4	0.5638	0.0
CDK11B	GRHL3	0	cVTrios	0.4101713	0.15842654	2	0.423	0.474	1.0	0.0	0.755787	0.27894068	0.108383	1.723878	0.26729	0	0.0	0.0	0.0	0.0588	1.33E-4	2.35E-4	0.5023	0.0
CDK11B	HCRTR1	0	cVTrios	0.4520953	0.19794485	1	0.093	0.29	0.305	0.0	0.65788245	0.32252356	0.060174	0.990094	0.466494	0	0.0	0.0	0.0	0.1	1.35E-4	2.33E-4	0.5938	0.0
CDK11B	PEF1	0	cVTrios	0.44175538	0.18176907	1	0.627	0.241	0.506	0.0	0.709987	0.3153475	0.049945	1.051791	0.404798	0	0.0	0.0	0.0	0.1765	0.00153	0.002243	0.3366	0.0
CDK11B	MTF1	0	cVTrios	0.43225446	0.17282577	2	0.401	0.422	1.0	0.0	0.843982	0.3109153	0.059383	1.719689	0.2631	0	0.0	0.0	0.0	0.1579	1.35E-4	2.33E-4	0.2046	0.0
CDK11B	INPP5B	0	cVTrios	0.41230875	0.1697217	1	0.348	0.287	0.413	0.0	0.62714994	0.31516963	0.060593	0.728294	0.728294	0	0.0	0.0	0.0	0.4211	2.37E-4	5.1E-5	0.242	0.0
CDK11B	CCDC30	0	cVTrios	0.3586848	0.13581164	1	0.4129354	0.18311593	0.39654294	0.0	0.5435404	0.29713053	0.0951452	0.728294	0.728294	0	0.0	0.0	0.0	0.1579	1.33E-4	2.36E-4	0.4262	0.08019398
CDK11B	GPBP1L1	0	cVTrios	0.4615389	0.19217806	1	0.262	1.0	1.0	0.0	0.65522265	0.25334218	0.107286	1.163618	0.29297	0	0.0	0.0	0.0	0.2632	1.41E-4	2.21E-4	0.2596	0.0
CDK11B	IPP	0	cVTrios	0.37533516	0.14358404	1	0.3968539	0.18976122	0.4398507	0.0	0.5471519	0.27915755	0.09853	0.730826	0.725763	0	0.0	0.0	0.0	0.25	1.37E-4	2.29E-4	0.3602	0.082593784
CDK11B	PDE4DIP	0	cVTrios	0.35570192	0.13427293	1	0.477	0.25	1.0	0.0	0.5266308	0.24397768	0.097844	0.59642655	0.3906746	0	0.0	0.0	0.0	0.0	1.58E-4	1.92E-4	0.4896	0.0
CDK11B	PEAR1	0	cVTrios	0.4601405	0.20662276	1	0.0	0.273	0.0	0.0	0.6008391	0.3383528	0.051153	0.728294	0.728294	0	0.0	0.0	0.0	0.1739	1.61E-4	1.86E-4	0.4975	0.0
CDK11B	ITLN1	0	cVTrios	0.3994804	0.16419108	1	0.358	0.234	0.244	0.0	0.5290554	0.29192692	0.096068	0.733186	0.723403	0	0.0	4.684111E-4	0.0	0.1176	1.7E-4	1.7E-4	0.5747	0.0
CDK11B	BLZF1	0	cVTrios	0.42234308	0.1637969	1	0.527	0.389	1.0	0.0	0.65758616	0.3082488	0.07056	0.728301	0.728287	0	0.0	0.0	0.0	0.1667	1.38E-4	2.28E-4	0.3641	0.0
CDK11B	CCDC181	0	cVTrios	0.36226356	0.13676167	1	0.3826288	0.18107285	0.3748446	0.0	0.5254713	0.28919494	0.09772589	0.728295	0.728294	0	0.0	0.0	0.0	0.0455	1.38E-4	2.26E-4	0.3958	0.08131108
CDK11B	PIGR	0	cVTrios	0.45322567	0.19113328	1	0.131	0.204	0.305	0.0	0.7358959	0.30057815	0.064815	1.37839	0.078199	0	0.0	0.0	0.0	0.1429	0.001572	0.002317	0.5652	0.0
CDK11B	FCAMR	0	cVTrios	0.38556364	0.15830034	1	0.0	0.359	0.305	0.0	0.4638416	0.26256138	0.121837	0.728302	0.728286	0	0.0	0.0	0.0	0.0667	1.38E-4	2.27E-4	0.5679	0.0
CDK11B	CAMK1G	0	cVTrios	0.2655045	0.07523187	1	0.67	0.0	0.0	2.4E-5	0.6135904	0.26586747	0.062704	0.829909	0.62668	0	0.0	0.0	1.0	0.0	1.35E-4	2.32E-4	0.5927	0.0
CDK11B	FEZ2	0	cVTrios	0.41378403	0.1668965	1	1.0	0.27	0.506	0.0	0.5955537	0.30879653	0.070094	0.72833	0.728259	0	0.0	0.0	0.0	0.05	1.46E-4	2.13E-4	0.4261	0.0
CDK11B	SLC4A5	0	cVTrios	0.35190323	0.13755691	1	0.061	0.146	0.305	0.0	0.46637323	0.25793707	0.114415	0.728295	0.728294	0	0.0	0.0	0.0	0.0714	9.211699E-4	0.0015581485	0.4495	0.0
CDK11B	OBSL1	0	cVTrios	0.4263803	0.18064003	1	0.432	0.301	0.704	0.0	0.6491579	0.33747756	0.061337	0.728294	0.728294	0	0.0	0.0	0.0	0.1875	1.42E-4	2.19E-4	0.6137	0.0
CDK11B	BRD9	0	cVTrios	0.3710225	0.1408857	1	0.565	0.289	0.633	4.2E-5	0.6412169	0.26326454	0.064551	0.977482	0.479107	0	0.0	0.0	0.0	0.2353	1.6E-4	1.87E-4	0.0335	0.0
CDK11B	LOC100505841	0	cVTrios	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
CDK11B	PHAX	0	cVTrios	0.49197513	0.18005233	1	1.0	0.24	1.0	0.0	0.69091827	0.30623913	0.058785	0.730988	0.725601	0	0.302	0.0	0.0	0.0	2.87E-4	3.7E-5	0.2888	0.0
CDK11B	FSTL4	0	cVTrios	0.49003518	0.21693769	1	0.0	0.26	0.0	0.0	0.8030166	0.3428652	0.049644	1.709921	0.253332	0	0.0	7.495411E-4	0.0	0.0909	1.35E-4	2.32E-4	0.542	0.0
CDK11B	CAGE1	0	cVTrios	0.31617725	0.108361475	1	0.2740202	0.15725993	0.35960165	0.0	0.49621296	0.24884214	0.124104	0.728297	0.728292	0	0.0	0.0	0.0	0.0909	1.34E-4	2.33E-4	0.5411	0.04134894
CDK11B	KIF13A	0	cVTrios	0.43332332	0.1759614	1	0.366	0.269	0.47	0.0	0.8259796	0.32165617	0.069675	1.728253	0.271664	0	0.0	0.0	0.0	0.3333	1.52E-4	2.02E-4	0.4415	0.0
CDK11B	ZNF292	0	cVTrios	0.43175066	0.17892279	1	0.214	0.0	0.0	0.0	0.7943363	0.32649598	0.052112	1.728271	0.271683	0	0.0	0.0	0.0	0.1667	1.6E-4	1.87E-4	0.3798	0.0
CDK11B	GJB7	0	cVTrios	0.44970277	0.19721904	1	0.141	0.441	0.0	0.0	0.55056846	0.30923545	0.08804	0.728296	0.728293	0	0.0	0.0	0.0	0.2857	9.357721E-4	0.0015587461	0.5625	0.0
CDK11B	SMPD2	0	cVTrios	0.4380168	0.18940741	1	0.134	0.278	0.305	1.9E-4	0.59910965	0.32280415	0.060593	0.728294	0.728294	0	0.0	0.0	0.0	0.1579	1.39E-4	2.25E-4	0.5044	0.0
CDK11B	MICAL1	0	cVTrios	0.42077264	0.1730959	1	0.464	0.314	0.506	9.4E-5	0.62274146	0.31436566	0.062704	0.728294	0.728294	0	0.0	0.0	0.0	0.3	2.23E-4	7.5E-5	0.3233	0.0
