GeneA	GeneB	Class	From	Recs.add	Recs.sub	EssgCom	GOSemSim_MF	GOSemSim_BP	GOSemSim_CC	GeneMANIAGG	HI.add	HI.sub	BioDis	LofIn.add	LofIn.sub	BioGRIDPP	STRINGPP	REAC_FI	PS_2DbJacSim	HighexpPer	Abundance.add	Abundance.sub	COXPRESdbMRvalue	DOSemSim
TRIM54	TRIM63	1	ref_23bilocus	0.524414	0.25165	0	0.752	0.572	1.0	0.0019	0.219	0.001	0.008985	1.0E-6	1.0E-6	1	0.353	0.98	1.0	0.6	1.6E-5	1.4E-5	0.116	0.0
PSMA3	PSMB8	1	ref_23bilocus	0.67950994	0.2266965	0	0.92	0.984	0.943	0.0011	1.423	0.567	0.008173	1.002285	0.978279	1	0.999	1.0	0.5	0.2222	0.00902	0.008755	0.2087	0.0
PSMA3	PSMB8	1	ref_23bilocus	0.67950994	0.2266965	0	0.92	0.984	0.943	0.0011	1.423	0.567	0.008173	1.002285	0.978279	1	0.999	1.0	0.5	0.2222	0.00902	0.008755	0.2087	0.0
PSMB4	PSMB9	1	ref_23bilocus	0.70234054	0.20342302	0	1.0	0.987	0.994	0.001	1.576	0.176	0.008173	0.62446	0.173166	1	0.999	1.0	1.0	0.1333	0.011077	0.01169	0.2535	0.172
PSMB4	PSMB8	1	ref_23bilocus	0.669747	0.21127698	0	1.0	0.972	0.994	0.0014	1.304	0.448	0.008173	0.410816	0.38681	1	0.999	1.0	1.0	0.1053	0.010876	0.012047	0.2217	0.172
CDK5RAP2	CEP152	1	ref_23bilocus	0.184661	0.015312	1	0.765	0.669	0.763	8.9E-4	0.174	0.104	0.00563	0.0	0.0	1	0.992	1.0	0.0	0.3571	1.9E-5	2.5E-5	0.0583	0.246
COL4A4	COL4A3	1	ref_23bilocus	0.588831	0.090803	0	0.658	0.513	0.955	0.0017	0.378	0.21	0.00563	7.6E-5	7.6E-5	0	0.949	1.0	1.0	0.5385	7.7E-5	1.0E-5	1.0E-4	0.882
COL4A4	COL4A3	1	ref_23bilocus	0.588831	0.090803	0	0.658	0.513	0.955	0.0017	0.378	0.21	0.00563	7.6E-5	7.6E-5	0	0.949	1.0	1.0	0.5385	7.7E-5	1.0E-5	1.0E-4	0.882
COL4A4	COL4A3	1	ref_23bilocus	0.588831	0.090803	0	0.658	0.513	0.955	0.0017	0.378	0.21	0.00563	7.6E-5	7.6E-5	0	0.949	1.0	1.0	0.5385	7.7E-5	1.0E-5	1.0E-4	0.882
COL4A4	COL4A3	1	ref_23bilocus	0.588831	0.090803	0	0.658	0.513	0.955	0.0017	0.378	0.21	0.00563	7.6E-5	7.6E-5	0	0.949	1.0	1.0	0.5385	7.7E-5	1.0E-5	1.0E-4	0.882
COL4A4	COL4A3	1	ref_23bilocus	0.588831	0.090803	0	0.658	0.513	0.955	0.0017	0.378	0.21	0.00563	7.6E-5	7.6E-5	0	0.949	1.0	1.0	0.5385	7.7E-5	1.0E-5	1.0E-4	0.882
COL4A5	COL4A4	1	ref_23bilocus	0.71707994	0.33283547	0	1.0	1.0	0.969	5.3E-4	0.964	0.796	0.00563	0.999918	0.999918	0	0.918	1.0	1.0	0.05	1.02E-4	3.3E-5	0.3433	0.591
COL4A5	COL4A4	1	ref_23bilocus	0.71707994	0.33283547	0	1.0	1.0	0.969	5.3E-4	0.964	0.796	0.00563	0.999918	0.999918	0	0.918	1.0	1.0	0.05	1.02E-4	3.3E-5	0.3433	0.591
COL4A5	COL4A4	1	ref_23bilocus	0.71707994	0.33283547	0	1.0	1.0	0.969	5.3E-4	0.964	0.796	0.00563	0.999918	0.999918	0	0.918	1.0	1.0	0.05	1.02E-4	3.3E-5	0.3433	0.591
COL4A5	COL4A4	1	ref_23bilocus	0.71707994	0.33283547	0	1.0	1.0	0.969	5.3E-4	0.964	0.796	0.00563	0.999918	0.999918	0	0.918	1.0	1.0	0.05	1.02E-4	3.3E-5	0.3433	0.591
SEC23A	MAN1B1	1	ref_23bilocus	0.50326455	0.19955103	0	0.366	0.082	0.617	0.0	0.95	0.368	0.049675	1.31E-4	1.25E-4	0	0.261	0.06834634	0.0	0.0952	9.78E-4	0.001541	0.362	0.0
RP1L1	PCARE	1	ref_23bilocus	0.68969446	0.25368053	0	0.0	0.426	0.749	0.0	0.8702663	0.29986492	0.046785746	0.94478476	0.3785791	0	0.631	0.17938623	0.0	0.28952244	0.0	0.0	0.2036	1.0
SHH	DISP1	1	ref_23bilocus	1.003266	0.779596	1	0.562	0.319	0.635	0.0	0.623	0.347	0.00563	0.912966	0.912957	0	0.984	1.0	0.0	0.2941	1.1E-5	1.3E-5	0.4458	0.276
MITF	GJB2	1	ref_23bilocus	0.92869	0.082696	2	0.325	0.18	0.428	0.0	1.251	0.447	0.054895	0.997811	0.997811	0	0.212	0.0	0.0	0.125	2.1E-5	3.0E-5	0.5814	0.579
AHI1	CEP290	1	ref_23bilocus	0.438231	0.183149	2	1.0	0.581	0.694	0.0	0.525	0.235	0.007038	0.0	0.0	0	0.992	1.0	0.0	0.4667	6.0E-6	5.0E-6	0.0693	0.564
RPE65	CEP290	1	ref_23bilocus	0.566401	0.054978	1	0.228	0.146	0.484	0.0	0.494	0.266	0.035406	0.0	0.0	0	0.716	0.0	0.0	0.1111	1.1E-5	4.0E-6	0.5126	0.737
CRB1	CEP290	1	ref_23bilocus	0.505978	0.115402	2	1.0	0.198	0.397	0.0	0.65	0.11	0.054895	0.0	0.0	0	0.721	0.0	0.0	0.125	8.3E-5	1.32E-4	0.5411	0.532
AHI1	CEP290	1	ref_23bilocus	0.438231	0.183149	2	1.0	0.581	0.694	0.0	0.525	0.235	0.007038	0.0	0.0	0	0.992	1.0	0.0	0.4667	6.0E-6	5.0E-6	0.0693	0.564
